Date,Open,High,Low,Close,Adj Close,Volume
2004-05-21,10.193493,10.347212,10.116634,10.193493,3.783015,17253471
2004-05-24,10.376035,10.481717,10.241531,10.376035,3.850760,17374397
2004-05-25,10.347212,10.366427,10.222316,10.347212,3.840063,16543287
2004-05-26,10.462502,10.548969,10.452894,10.462502,3.882849,23666062
2004-05-27,10.500931,10.558576,10.433679,10.500931,3.897110,17646224
2004-05-28,10.414464,10.587398,10.414464,10.414464,3.865021,16104639
2004-05-31,10.404857,10.404857,10.337605,10.404857,3.861457,11278222
2004-06-01,10.251138,10.376035,10.222316,10.251138,3.804407,14425995
2004-06-02,10.327998,10.404857,10.299175,10.327998,3.832933,13549517
2004-06-03,10.366427,10.376035,10.203101,10.366427,3.847195,13736004
2004-06-04,10.539361,10.577791,10.327998,10.539361,3.911373,16476289
2004-06-07,10.693080,10.693080,10.577791,10.693080,3.968421,13787792
2004-06-08,10.693080,10.741117,10.635436,10.693080,3.968421,14358590
2004-06-09,10.616221,10.779547,10.606613,10.616221,3.939898,16150408
2004-06-10,10.625828,10.654650,10.558576,10.625828,3.943464,16033500
2004-06-11,10.606613,10.616221,10.510539,10.606613,3.936330,11351321
2004-06-14,10.414464,10.568184,10.366427,10.414464,3.865021,49446100
2004-06-15,10.539361,10.577791,10.395250,10.539361,3.911373,16208142
2004-06-16,10.635436,10.635436,10.548969,10.635436,3.947029,12457744
2004-06-17,10.731510,10.731510,10.597006,10.731510,3.982684,18196152
2004-06-18,10.769940,10.808370,10.673865,10.769940,3.996945,49903304
2004-06-21,10.750725,10.866014,10.712295,10.750725,3.989815,64310463
2004-06-22,10.597006,10.721903,10.548969,10.597006,3.932765,19137268
2004-06-23,10.625828,10.683473,10.568184,10.625828,3.943464,16079489
2004-06-24,10.721903,10.779547,10.673865,10.721903,3.979119,41532737
2004-06-25,10.625828,10.779547,10.625828,10.625828,3.943464,20819033
2004-06-28,10.721903,10.750725,10.616221,10.721903,3.979119,43020729
2004-06-29,10.654650,10.712295,10.625828,10.654650,3.954159,20268475
2004-06-30,10.548969,10.693080,10.548969,10.548969,3.914939,24457095
2004-07-01,10.510539,10.683473,10.452894,10.510539,3.900677,61908029
2004-07-02,10.558576,10.558576,10.443287,10.558576,3.918504,110240630
2004-07-05,10.568184,10.616221,10.529754,10.568184,3.922071,64759373
2004-07-06,10.414464,10.606613,10.376035,10.414464,3.865021,24002177
2004-07-07,10.568184,10.645043,10.433679,10.568184,3.922071,154419724
2004-07-08,10.645043,10.645043,10.481717,10.645043,3.950594,91959564
2004-07-09,10.548969,10.616221,10.443287,10.548969,3.914939,32293693
2004-07-12,10.481717,10.664258,10.481717,10.481717,3.925734,47644023
2004-07-13,10.568184,10.645043,10.529754,10.568184,3.958118,13600753
2004-07-14,10.568184,10.577791,10.443287,10.568184,3.958118,48810530
2004-07-15,10.443287,10.587398,10.443287,10.443287,3.911340,88627588
2004-07-16,10.443287,10.520146,10.385642,10.443287,3.911340,29877422
2004-07-19,10.404857,10.433679,10.299175,10.404857,3.896948,15148020
2004-07-20,10.462502,10.520146,10.318390,10.462502,3.918537,13361653
2004-07-21,10.491324,10.577791,10.424072,10.491324,3.929332,63751392
2004-07-22,10.366427,10.424072,10.308783,10.366427,3.882555,18393732
2004-07-23,10.222316,10.433679,10.145456,10.222316,3.828580,53506178
2004-07-26,10.155064,10.183886,10.030167,10.155064,3.803391,60547092
2004-07-27,10.404857,10.452894,10.164671,10.404857,3.896948,28396097
2004-07-28,10.366427,10.491324,10.337605,10.366427,3.882555,18610655
2004-07-29,10.548969,10.568184,10.395250,10.548969,3.950923,48257333
2004-07-30,10.529754,10.625828,10.520146,10.625828,3.979709,27071842
2004-08-02,10.539361,10.635436,10.520146,10.587398,3.965314,18585544
2004-08-03,10.587398,10.654650,10.577791,10.597006,3.968912,29018146
2004-08-04,10.529754,10.558576,10.404857,10.520146,3.940127,16035343
2004-08-05,10.520146,10.645043,10.558576,10.568184,3.958118,9332564
2004-08-06,10.568184,10.510539,10.376035,10.404857,3.896948,109973786
2004-08-09,10.385642,10.424072,10.193493,10.289568,3.853768,60678338
2004-08-10,10.289568,10.327998,10.222316,10.299175,3.857368,12643558
2004-08-11,10.327998,10.347212,10.068597,10.212708,3.824982,33973878
2004-08-12,10.174278,10.318390,10.145456,10.260745,3.842973,15675341
2004-08-13,10.145456,10.203101,10.116634,10.135849,3.796195,13383638
2004-08-16,10.135849,10.135849,10.135849,10.135849,3.796195,0
2004-08-17,10.279960,10.404857,10.212708,10.308783,3.860965,17853340
2004-08-18,10.308783,10.443287,10.270353,10.443287,3.911340,20118674
2004-08-19,10.491324,10.548969,10.385642,10.395250,3.893349,17140726
2004-08-20,10.395250,10.404857,10.318390,10.366427,3.882555,10794392
2004-08-23,10.366427,10.548969,10.414464,10.500931,3.932931,10617044
2004-08-24,10.500931,10.520146,10.452894,10.491324,3.929332,11951550
2004-08-25,10.472109,10.500931,10.376035,10.414464,3.900545,22168860
2004-08-26,10.500931,10.529754,10.462502,10.481717,3.925734,11359467
2004-08-27,10.481717,10.539361,10.452894,10.529754,3.943725,22824560
2004-08-30,10.548969,10.597006,10.510539,10.520146,3.940127,9916193
2004-08-31,10.500931,10.597006,10.491324,10.500931,3.932931,19902013
2004-09-01,10.597006,10.664258,10.568184,10.635436,3.983307,13902558
2004-09-02,10.635436,10.769940,10.577791,10.760332,4.030084,40160284
2004-09-03,10.741117,10.904444,10.731510,10.894836,4.080461,22195309
2004-09-06,10.894836,10.942874,10.856407,10.923659,4.091256,17593069
2004-09-07,10.904444,10.942874,10.875622,10.942874,4.098452,11767276
2004-09-08,10.933266,10.942874,10.856407,10.894836,4.080461,28320374
2004-09-09,10.846799,10.875622,10.760332,10.779547,4.037282,14455328
2004-09-10,10.789155,10.837192,10.760332,10.817977,4.051673,9960860
2004-09-13,10.856407,10.952481,10.846799,10.933266,4.094854,16123379
2004-09-14,10.904444,10.923659,10.837192,10.875622,4.073265,16827344
2004-09-15,10.856407,10.875622,10.721903,10.808370,4.048075,42043249
2004-09-16,10.808370,10.846799,10.721903,10.827584,4.055273,53359246
2004-09-17,10.798762,10.885229,10.741117,10.817977,4.051673,34723516
2004-09-20,10.817977,10.837192,10.693080,10.750725,4.026487,74628346
2004-09-21,10.673865,10.798762,10.673865,10.779547,4.037282,51402433
2004-09-22,10.760332,10.779547,10.683473,10.702688,4.008494,105632405
2004-09-23,10.645043,10.693080,10.597006,10.664258,3.994101,34010131
2004-09-24,10.664258,10.683473,10.577791,10.625828,3.979709,51790893
2004-09-27,10.625828,10.616221,10.510539,10.510539,3.936527,10250703
2004-09-28,10.510539,10.635436,10.491324,10.597006,3.968912,34232590
2004-09-29,10.635436,10.683473,10.577791,10.625828,3.979709,50949992
2004-09-30,10.673865,10.741117,10.645043,10.645043,3.986905,33124318
2004-10-01,10.664258,10.914051,10.645043,10.914051,4.087657,64781481
2004-10-04,10.914051,11.279134,10.933266,11.163845,4.181212,88128683
2004-10-05,11.163845,11.250312,11.077378,11.144630,4.174016,48212624
2004-10-06,11.144630,11.307956,11.077378,11.240704,4.209998,79306171
2004-10-07,11.288742,11.471283,11.231097,11.432853,4.281965,89435885
2004-10-08,11.432853,11.490498,11.288742,11.355994,4.253179,56845911
2004-10-11,11.259919,11.327171,11.183060,11.269527,4.256807,77177362
2004-10-12,11.269527,11.269527,11.269527,11.269527,4.256807,0
2004-10-13,11.269527,11.404031,11.240704,11.346386,4.285838,187661062
2004-10-14,11.346386,11.365601,11.240704,11.298349,4.267695,27088516
2004-10-15,11.298349,11.307956,11.173452,11.307956,4.271324,69134204
2004-10-18,11.307956,11.423246,11.298349,11.365601,4.293097,21820076
2004-10-19,11.365601,11.576965,11.423246,11.538535,4.358418,47995328
2004-10-20,11.423246,11.500105,11.394423,11.432853,4.318500,31086605
2004-10-21,11.480890,11.509713,11.394423,11.480890,4.336646,55435610
2004-10-22,11.442461,11.615394,11.442461,11.490498,4.340272,46392670
2004-10-25,11.307956,11.327171,11.173452,11.259919,4.253179,85160885
2004-10-26,11.307956,11.346386,11.202275,11.288742,4.264065,61259378
2004-10-27,11.288742,11.548142,11.269527,11.548142,4.362048,77505316
2004-10-28,11.596180,11.817151,11.596180,11.817151,4.463659,39427745
2004-10-29,11.826758,11.970870,11.730684,11.817151,4.463659,38323143
2004-11-01,11.817151,11.817151,11.817151,11.817151,4.463659,0
2004-11-02,11.951655,12.076552,11.913225,12.076552,4.561645,34109450
2004-11-03,12.076552,12.220663,12.057337,12.095766,4.568900,38808306
2004-11-04,12.134196,12.143804,11.932440,12.066944,4.558015,38507240
2004-11-05,12.201448,12.230271,12.038122,12.105374,4.572531,48056256
2004-11-08,12.076552,12.182233,12.057337,12.086159,4.565270,27691372
2004-11-09,12.066944,12.086159,11.942047,11.942047,4.510837,34303602
2004-11-10,11.980477,12.038122,11.913225,11.913225,4.499951,22662426
2004-11-11,11.913225,11.961262,11.701861,11.797936,4.456403,46534668
2004-11-12,11.894010,11.894010,11.701861,11.701861,4.420113,26458494
2004-11-15,11.740291,11.769114,11.634609,11.721076,4.427370,26680697
2004-11-16,11.749899,11.788328,11.644217,11.644217,4.398335,17784404
2004-11-17,11.682647,11.980477,11.673039,11.970870,4.521724,43300077
2004-11-18,11.932440,12.028514,11.913225,11.951655,4.514465,13989387
2004-11-19,11.961262,12.086159,11.884403,11.903618,4.496322,19636458
2004-11-22,11.769114,11.855580,11.701861,11.836366,4.470919,16148911
2004-11-23,11.894010,11.942047,11.788328,11.874795,4.485435,15123331
2004-11-24,11.951655,11.970870,11.855580,11.961262,4.518095,16332685
2004-11-25,11.990085,12.105374,11.990085,12.105374,4.572531,17997978
2004-11-26,12.057337,12.095766,11.990085,12.095766,4.568900,10441709
2004-11-29,12.095766,12.143804,11.903618,11.961262,4.518095,14747568
2004-11-30,11.961262,11.951655,11.778721,11.894010,4.492692,33104535
2004-12-01,11.894010,11.999692,11.826758,11.913225,4.499951,18808544
2004-12-02,11.913225,12.086159,11.942047,12.086159,4.565270,52671275
2004-12-03,12.057337,12.163019,11.894010,12.009300,4.536240,21064227
2004-12-06,12.009300,12.009300,12.009300,12.009300,4.536240,0
2004-12-07,12.009300,12.124589,11.913225,12.047729,4.550756,19392460
2004-12-08,12.047729,12.047729,12.047729,12.047729,4.550756,0
2004-12-09,12.076552,12.114981,11.980477,12.009300,4.536240,19787685
2004-12-10,12.095766,12.105374,12.009300,12.018907,4.539868,20843211
2004-12-13,12.076552,12.201448,12.076552,12.153411,4.590674,22707037
2004-12-14,12.201448,12.239878,12.124589,12.134196,4.583416,14672493
2004-12-15,12.191841,12.230271,12.086159,12.086159,4.565270,22218801
2004-12-16,12.124589,12.230271,12.095766,12.230271,4.619706,27600599
2004-12-17,12.230271,12.297523,12.009300,12.201448,4.608819,53885946
2004-12-20,12.201448,12.239878,12.095766,12.153411,4.590674,35207559
2004-12-21,12.172626,12.364775,12.134196,12.364775,4.670514,18843625
2004-12-22,12.412812,12.460849,12.326345,12.422419,4.692286,21244254
2004-12-23,12.422419,12.499279,12.412812,12.489672,4.717689,21954964
2004-12-24,12.489672,12.489672,12.489672,12.489672,4.717689,0
2004-12-27,12.451242,12.518494,12.441634,12.470457,4.710431,10095150
2004-12-28,12.480064,12.499279,12.432027,12.499279,4.721319,7727685
2004-12-29,12.518494,12.585746,12.470457,12.576138,4.750351,48038957
